country,CountryCode,numOfAwards
Argentina,ARG,19
Austria,AUT,4
Belgium,BEL,5
Brazil,BRA,43
Bulgaria,BUL,3
Cameroon,CMR,1
Chile,CHI,4
Colombia,COL,2
Croatia,CRO,4
Czechoslovakia,TCH,8
Denmark,DEN,2
England,ENG,10
France,FRA,14
Germany,GER,16
Germany FR,FRG,22
Hungary,HUN,12
Italy,ITA,25
Netherlands,NED,12
Northern Ireland,NIR,1
Peru,PER,3
Poland,POL,7
Portugal,POR,5
Russia,RUS,1
South Korea,KOR,3
Soviet Union,URS,3
Spain,ESP,10
Sweden,SWE,5
Switzerland,SUI,1
Turkey,TUR,1
United States,USA,3
Uruguay,URU,14
Yugoslavia,YUG,3
