"year","host","hostCountry","winner","champion"
"1930","URU","Uruguay","URU","Uruguay"
"1934","ITA","Italy","ITA","Italy"
"1938","FRA","France","ITA","Italy"
"1950","BRA","Brazil","URU","Uruguay"
"1954","SUI","Switzerland","FRG","Germany FR"
"1958","SWE","Sweden","BRA","Brazil"
"1962","CHI","Chile","BRA","Brazil"
"1966","ENG","England","ENG","England"
"1970","MEX","Mexico","BRA","Brazil"
"1974","FRG","Germany FR","FRG","Germany FR"
"1978","ARG","Argentina","ARG","Argentina"
"1982","ESP","Spain","ITA","Italy"
"1986","MEX","Mexico","ARG","Argentina"
"1990","ITA","Italy","FRG","Germany FR"
"1994","USA","United States","BRA","Brazil"
"1998","FRA","France","FRA","France"
"2002","JPN","Japan","BRA","Brazil"
"2002","KOR","South Korea","BRA","Brazil"
"2006","GER","Germany","ITA","Italy"
"2010","RSA","South Africa","ESP","Spain"
"2014","BRA","Brazil","GER","Germany"
