year,start,flag1,team1,flag2,team2,score1,score2,round,OT,pos,pso1,pso2
1930,1930-07-13,fra,France,mex,Mexico,4,1,Round 1 - Group 1,N,N,,
1930,1930-07-15,arg,Argentina,fra,France,1,0,Round 1 - Group 1,N,N,,
1930,1930-07-16,chi,Chile,mex,Mexico,3,0,Round 1 - Group 1,N,N,,
1930,1930-07-19,chi,Chile,fra,France,1,0,Round 1 - Group 1,N,N,,
1930,1930-07-19,arg,Argentina,mex,Mexico,6,3,Round 1 - Group 1,N,N,,
1930,1930-07-22,arg,Argentina,chi,Chile,3,1,Round 1 - Group 1,N,N,,
1930,1930-07-14,yug,Yugoslavia,bra,Brazil,2,1,Round 1 - Group 2,N,N,,
1930,1930-07-17,yug,Yugoslavia,bol,Bolivia,4,0,Round 1 - Group 2,N,N,,
1930,1930-07-20,bra,Brazil,bol,Bolivia,4,0,Round 1 - Group 2,N,N,,
1930,1930-07-14,rou,Romania,per,Peru,3,1,Round 1 - Group 3,N,N,,
1930,1930-07-18,uru,Uruguay,per,Peru,1,0,Round 1 - Group 3,N,N,,
1930,1930-07-21,uru,Uruguay,rou,Romania,4,0,Round 1 - Group 3,N,N,,
1930,1930-07-13,usa,United States,bel,Belgium,3,0,Round 1 - Group 4,N,N,,
1930,1930-07-17,usa,United States,par,Paraguay,3,0,Round 1 - Group 4,N,N,,
1930,1930-07-20,par,Paraguay,bel,Belgium,1,0,Round 1 - Group 4,N,N,,
1930,1930-07-26,arg,Argentina,usa,United States,6,1,Semi-Final,N,N,,
1930,1930-07-27,uru,Uruguay,yug,Yugoslavia,6,1,Semi-Final,N,N,,
1930,1930-07-30,uru,Uruguay,arg,Argentina,4,2,Final,N,N,,
1934,1934-05-27,swe,Sweden,arg,Argentina,3,2,Round 1 - Knockout,N,N,,
1934,1934-05-27,aut,Austria,fra,France,3,2,Round 1 - Knockout,Y,N,,
1934,1934-05-27,ger,Germany,bel,Belgium,5,2,Round 1 - Knockout,N,N,,
1934,1934-05-27,esp,Spain,bra,Brazil,3,1,Round 1 - Knockout,N,N,,
1934,1934-05-27,hun,Hungary,egy,Egypt,4,2,Round 1 - Knockout,N,N,,
1934,1934-05-27,sui,Switzerland,ned,Netherlands,3,2,Round 1 - Knockout,N,N,,
1934,1934-05-27,ita,Italy,usa,United States,7,1,Round 1 - Knockout,N,N,,
1934,1934-05-27,tch,Czechoslovakia,rou,Romania,2,1,Round 1 - Knockout,N,N,,
1934,1934-05-31,tch,Czechoslovakia,sui,Switzerland,3,2,Quarter Final,N,N,,
1934,1934-05-31,ger,Germany,swe,Sweden,2,1,Quarter Final,N,N,,
1934,1934-05-31,ita,Italy,esp,Spain,1,1,Quarter Final,Y,N,,
1934,1934-05-31,aut,Austria,hun,Hungary,2,1,Quarter Final,N,N,,
1934,1934-06-01,ita,Italy,esp,Spain,1,0,Quarter Final,N,N,,
1934,1934-06-03,ita,Italy,aut,Austria,1,0,Semi-Final,N,N,,
1934,1934-06-03,tch,Czechoslovakia,ger,Germany,3,1,Semi-Final,N,N,,
1934,1934-06-07,ger,Germany,aut,Austria,3,2,Third Place,N,N,,
1934,1934-06-10,ita,Italy,tch,Czechoslovakia,2,1,Final,Y,N,,
1938,1938-06-04,sui,Switzerland,ger,Germany,1,1,Round 1 - Knockout,Y,N,,
1938,1938-06-05,hun,Hungary,dei,Dutch East Indies,6,0,Round 1 - Knockout,N,N,,
1938,1938-06-05,fra,France,bel,Belgium,3,1,Round 1 - Knockout,N,N,,
1938,1938-06-05,cub,Cuba,rou,Romania,3,3,Round 1 - Knockout,Y,N,,
1938,1938-06-05,ita,Italy,nor,Norway,2,1,Round 1 - Knockout,Y,N,,
1938,1938-06-05,bra,Brazil,pol,Poland,6,5,Round 1 - Knockout,Y,N,,
1938,1938-06-05,tch,Czechoslovakia,ned,Netherlands,3,0,Round 1 - Knockout,Y,N,,
1938,1938-06-09,cub,Cuba,rou,Romania,2,1,Round 1 - Knockout,N,N,,
1938,1938-06-09,sui,Switzerland,ger,Germany,4,2,Round 1 - Knockout,N,N,,
1938,1938-06-12,bra,Brazil,tch,Czechoslovakia,1,1,Quarter Final,Y,N,,
1938,1938-06-12,hun,Hungary,sui,Switzerland,2,0,Quarter Final,N,N,,
1938,1938-06-12,swe,Sweden,cub,Cuba,8,0,Quarter Final,N,N,,
1938,1938-06-12,ita,Italy,fra,France,3,1,Quarter Final,N,N,,
1938,1938-06-14,bra,Brazil,tch,Czechoslovakia,2,1,Quarter Final,N,N,,
1938,1938-06-16,hun,Hungary,swe,Sweden,5,1,Semi-Final,N,N,,
1938,1938-06-16,ita,Italy,bra,Brazil,2,1,Semi-Final,N,N,,
1938,1938-06-19,bra,Brazil,swe,Sweden,4,2,Third Place,N,N,,
1938,1938-06-19,ita,Italy,hun,Hungary,4,2,Final,N,N,,
1950,1950-06-24,bra,Brazil,mex,Mexico,4,0,Round 1 - Group 1,N,N,,
