"year","player","countryCode","country","rank"
"1930","José Nasazzi","URU","Uruguay","1"
"1930","Guillermo Stábile","ARG","Argentina","2"
"1930","José Leandro Andrade","URU","Uruguay","3"
"1934","Giuseppe Meazza","ITA","Italy","1"
"1934","Matthias Sindelar","AUT","Austria","2"
"1934","Oldrich Nejedlý","TCH","Czechoslovakia","3"
"1938","Brazil Leônidas","BRA","Brazil","1"
"1938","Silvio Piola","ITA","Italy","2"
"1938","György Sárosi","HUN","Hungary","3"
"1950","Zizinho","BRA","Brazil","1"
"1950","Juan Schiaffino","URU","Uruguay","2"
"1950","Ademir","BRA","Brazil","3"
"1954","Hungary Ferenc Puskás","HUN","Hungary","1"
"1954","Sándor Kocsis","HUN","Hungary","2"
"1954","Fritz Walter","FRG","Germany FR","3"
"1958","Didi","BRA","Brazil","1"
"1958","Pelé","BRA","Brazil","2"
"1958","Just Fontaine","FRA","France","3"
"1962","Garrincha","BRA","Brazil","1"
"1962","Josef Masopust","TCH","Czechoslovakia","2"
"1962","Leonel Sánchez","CHI","Chile","3"
"1966","Bobby Charlton","ENG","England","1"
"1966","Bobby Moore","ENG","England","2"
"1966","Eusébio","POR","Portugal","3"
"1970","Pelé","BRA","Brazil","1"
"1970","Gérson","BRA","Brazil","2"
"1970","Gerd Mueller","FRG","Germany FR","3"
"1974","Netherlands Johan Cruijff","NED","Netherlands","1"
"1974","Franz Beckenbauer","FRG","Germany FR","2"
"1974","Kazimierz Deyna","POL","Poland","3"
"1978","Mario Kempes","ARG","Argentina","1"
"1978","Paolo Rossi","ITA","Italy","2"
"1978","Dirceu","BRA","Brazil","3"
"1982","Paolo ROSSI","ITA","Italy","1"
"1982","FALCAO","BRA","Brazil","2"
"1982","Karl-Heinz RUMMENIGGE","FRG","Germany FR","3"
"1986","Diego MARADONA","ARG","Argentina","1"
"1986","Harald Schumacher","FRG","Germany FR","2"
"1986","Preben Elkjær Larsen","DEN","Denmark","3"
"1990","Salvatore SCHILLACI","ITA","Italy","1"
"1990","Lothar MATTHAEUS","FRG","Germany FR","2"
"1990","Diego MARADONA","ARG","Argentina","3"
"1994","ROMÁRIO [Romário de Souza Faria]","BRA","Brazil","1"
"1994","Roberto BAGGIO","ITA","Italy","2"
"1994","Hristo STOICHKOV","BUL","Bulgaria","3"
"1998","RONALDO","BRA","Brazil","1"
"1998","Davor SUKER","CRO","Croatia","2"
"1998","Lilian THURAM","FRA","France","3"
"2002","Oliver KAHN","GER","Germany","1"
"2002","RONALDO","BRA","Brazil","2"
"2002","HONG Myung Bo","KOR","South Korea","3"
"2006","Zinedine ZIDANE","FRA","France","1"
"2006","Fabio CANNAVARO","ITA","Italy","2"
"2006","Andrea PIRLO","ITA","Italy","3"
"2010","Diego FORLAN","URU","Uruguay","1"
"2010","Wesley Sneijder","NED","Netherlands","2"
"2010","David Villa","ESP","Spain","3"
"2014","Lionel MESSI","ARG","Argentina","1"
"2014","Thomas MUELLER","GER","Germany","2"
"2014","Arjen Robben","NED","Netherlands","3"
