Rank,Country,Tournament,Goals,insertYear
1,Germany,1930,0,N
2,Argentina,1930,18,N
3,Belgium,1930,0,N
4,Colombia,1930,0,N
5,Brazil,1930,5,N
6,Netherlands,1930,0,N
7,Portugal,1930,0,N
8,Uruguay,1930,15,N
9,Switzerland,1930,0,N
10,Spain,1930,0,Y
1,Germany,1934,11,N
2,Argentina,1934,2,N
3,Belgium,1934,2,N
4,Colombia,1934,0,N
5,Brazil,1934,1,N
6,Netherlands,1934,2,N
7,Portugal,1934,0,N
8,Uruguay,1934,0,N
9,Switzerland,1934,5,N
10,Spain,1934,4,Y
1,Germany,1938,3,N
2,Argentina,1938,0,N
3,Belgium,1938,1,N
4,Colombia,1938,0,N
5,Brazil,1938,14,N
6,Netherlands,1938,0,N
7,Portugal,1938,0,N
8,Uruguay,1938,0,N
9,Switzerland,1938,5,N
10,Spain,1938,0,Y
1,Germany,1950,0,N
2,Argentina,1950,0,N
3,Belgium,1950,0,N
4,Colombia,1950,0,N
5,Brazil,1950,22,N
6,Netherlands,1950,0,N
7,Portugal,1950,0,N
8,Uruguay,1950,15,N
9,Switzerland,1950,4,N
10,Spain,1950,10,Y
1,Germany,1954,25,N
2,Argentina,1954,0,N
3,Belgium,1954,5,N
4,Colombia,1954,0,N
5,Brazil,1954,8,N
6,Netherlands,1954,0,N
7,Portugal,1954,0,N
8,Uruguay,1954,16,N
9,Switzerland,1954,11,N
10,Spain,1954,0,Y
1,Germany,1958,12,N
2,Argentina,1958,5,N
3,Belgium,1958,0,N
4,Colombia,1958,0,N
5,Brazil,1958,16,N
6,Netherlands,1958,0,N
7,Portugal,1958,0,N
8,Uruguay,1958,0,N
9,Switzerland,1958,0,N
10,Spain,1958,0,Y
1,Germany,1962,4,N
2,Argentina,1962,2,N
3,Belgium,1962,0,N
4,Colombia,1962,5,N
5,Brazil,1962,14,N
6,Netherlands,1962,0,N
7,Portugal,1962,0,N
8,Uruguay,1962,4,N
9,Switzerland,1962,2,N
10,Spain,1962,2,Y
1,Germany,1966,15,N
2,Argentina,1966,4,N
3,Belgium,1966,0,N
4,Colombia,1966,0,N
5,Brazil,1966,4,N
6,Netherlands,1966,0,N
7,Portugal,1966,17,N
8,Uruguay,1966,2,N
9,Switzerland,1966,1,N
10,Spain,1966,4,Y
1,Germany,1970,17,N
2,Argentina,1970,0,N
3,Belgium,1970,4,N
4,Colombia,1970,0,N
5,Brazil,1970,19,N
6,Netherlands,1970,0,N
7,Portugal,1970,0,N
8,Uruguay,1970,4,N
9,Switzerland,1970,0,N
